thisN,trials.key_resp.corr,trials.key_resp.rt,,,,SeqRT,ranRT,,,,,
0,1,1.902034,,,,1.902034,0.4026908,1.4993432,,,,
1,1,1.1095452,,,,1.1095452,1.5911171,-0.4815719,,,seqRT,0.424426217
2,1,1.1302049,,,,1.1302049,1.0021019,0.128103,,,ranRT,0.786913156
3,1,1.2833576,,,,1.2833576,0.5909163,0.6924413,,,,
4,1,0.8303129,,,,0.8303129,0.490947,0.3393659,,,,-0.362486939
5,1,0.4009642,,,,0.4009642,0.585343,-0.1843788,,,,
6,1,0.3259452,,,,0.3259452,1.2796182,-0.953673,,,,
7,1,0.3189281,,,,0.3189281,0.7252431,-0.406315,,,,
8,1,0.7720439,,,,0.7720439,1.144812,-0.3727681,,,,
9,1,0.4817365,,,,0.4817365,0.7369766,-0.2552401,,,,
10,1,0.2733582,,,,0.2733582,0.7189216,-0.4455634,,,,
11,1,0.1075069,,,,0.1075069,0.5967896,-0.4892827,,,,
12,1,0.2960196,,,,0.2960196,0.8834519,-0.5874323,,,,
13,1,0.3021302,,,,0.3021302,0.7321408,-0.4300106,,,,
14,1,0.2820202,,,,0.2820202,0.8231548,-0.5411346,,,,
15,1,0.2912632,,,,0.2912632,0.953877,-0.6626138,,,,
16,1,0.356331,,,,0.356331,0.6349448,-0.2786138,,,,
17,1,0.3001769,,,,0.3001769,0.6145857,-0.3144088,,,,
18,1,0.3106204,,,,0.3106204,0.7295677,-0.4189473,,,,
19,1,0.2168486,,,,0.2168486,0.851055,-0.6342064,,,,
20,1,0.2698233,,,,0.2698233,0.5980963,-0.328273,,,,
21,1,0.280204,,,,0.280204,0.7694366,-0.4892326,,,,
22,1,0.3457124,,,,0.3457124,0.6912424,-0.34553,,,,
23,1,0.2940342,,,,0.2940342,0.7515002,-0.457466,,,,
24,1,0.4926831,,,,0.4926831,0.6327441,-0.140061,,,,
25,1,0.3488204,,,,0.3488204,0.8785983,-0.5297779,,,,
26,1,0.3705711,,,,0.3705711,0.7242356,-0.3536645,,,,
27,1,0.2970176,,,,0.2970176,1.0336287,-0.7366111,,,,
28,1,0.3356283,,,,0.3356283,0.5712589,-0.2356306,,,,
29,1,0.4294492,,,,0.4294492,0.7564007,-0.3269515,,,,
30,1,0.4301055,,,,0.4301055,0.6502819,-0.2201764,,,,
31,1,0.2720739,,,,0.2720739,1.0365361,-0.7644622,,,,
32,1,0.396787,,,,0.396787,0.6090907,-0.212303699,,,,
33,1,0.6712393,,,,0.6712393,2.5024833,-1.831244,,,,
34,1,0.4337644,,,,0.4337644,0.8065723,-0.3728079,,,,
35,1,0.3042176,,,,0.3042176,0.8354353,-0.531217699,,,,
36,1,0.2941782,,,,0.2941782,1.3046846,-1.0105064,,,,
37,1,0.3372555,,,,0.3372555,0.5659472,-0.2286917,,,,
38,1,0.5230595,,,,0.5230595,0.9096653,-0.3866058,,,,
39,1,0.3200125,,,,0.3200125,0.7894329,-0.4694204,,,,
40,1,0.4476029,,,,0.4476029,0.7031513,-0.2555484,,,,
41,1,0.3118414,,,,0.3118414,1.2116824,-0.899841,,,,
42,1,0.2815922,,,,0.2815922,0.6346164,-0.3530242,,,,
43,1,0.3009952,,,,0.3009952,0.6876201,-0.3866249,,,,
44,1,0.3626851,,,,0.3626851,1.6755658,-1.3128807,,,,
45,1,0.2962083,,,,0.2962083,0.7892297,-0.4930214,,,,
46,1,0.3528383,,,,0.3528383,1.3179026,-0.9650643,,,,
47,1,0.3187245,,,,0.3187245,1.1817356,-0.8630111,,,,
48,1,0.3610221,,,,0.3610221,0.9404613,-0.5794392,,,,
49,1,0.3241616,,,,0.3241616,0.838959,-0.5147974,,,,
50,1,0.2913113,,,,0.2913113,0.8492233,-0.557912,,,,
51,1,0.2787794,,,,0.2787794,0.3020421,-0.0232627,,,,
52,1,0.3242084,,,,0.3242084,0.3559936,-0.0317852,,,,
53,1,0.277652,,,,0.277652,0.8286429,-0.5509909,,,,
54,1,0.6173081,,,,0.6173081,0.367815,0.2494931,,,,
55,1,0.126002,,,,0.126002,0.3732539,-0.2472519,,,,
56,1,0.776102,,,,0.776102,0.1857972,0.5903048,,,,
57,1,0.3198888,,,,0.3198888,0.7629699,-0.4430811,,,,
58,1,0.3820466,,,,0.3820466,0.6174529,-0.2354063,,,,
59,1,0.3650628,,,,0.3650628,0.7948529,-0.4297901,,,,
60,1,0.3084787,,,,0.3084787,0.9758604,-0.6673817,,,,
61,1,0.2639235,,,,0.2639235,1.2137355,-0.949812,,,,
62,1,0.2828692,,,,0.2828692,0.5979366,-0.3150674,,,,
63,1,0.2941919,,,,0.2941919,0.6766941,-0.3825022,,,,
64,1,0.342221,,,,0.342221,0.7159883,-0.3737673,,,,
65,1,0.3498296,,,,0.3498296,1.373189,-1.0233594,,,,
66,1,0.4246023,,,,0.4246023,0.6703817,-0.2457794,,,,
67,1,0.39,,,,0.39,1.4575337,-1.0675337,,,,
68,1,0.4948579,,,,0.4948579,0.6144572,-0.1195993,,,,
69,1,0.369219,,,,0.369219,0.7845638,-0.4153448,,,,
70,1,0.4175732,,,,0.4175732,0.8498265,-0.4322533,,,,
71,1,0.4125237,,,,0.4125237,0.6944782,-0.2819545,,,,
72,1,0.396613,,,,0.396613,1.1268466,-0.7302336,,,,
73,1,0.2886312,,,,0.2886312,0.7888341,-0.5002029,,,,
74,1,0.2762132,,,,0.2762132,0.7019552,-0.425742,,,,
75,1,0.2973462,,,,0.2973462,0.6819835,-0.3846373,,,,
